"Victimisation rates(a), Selected offences by states and territories, 1993–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offence,1993,1994,1995,1996,1997,1998,1999(b),2000,2001,2002,2003,2004,2005,2006,2007(c),2008(d),2009(e)(f),2010(g)(h),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault(j),np,np,"1,376.9","1,424.3","1,357.5","1,297.5","1,309.6","1,475.3","1,462.3","1,694.9","1,838.1","1,669.8","1,932.4","2,079.8","2,414.5","2,393.2","2,870.5"," 2,995.5 "," 2,918.0 "," 3,014.2 "," 3,295.9 "," 2,985.3 "," 2,855.4 ","2,780.9","3,117.0","2,981.1","2,734.2","3,330.2","3,681.8","4,159.1","4,569.8"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexual assault,111.8,102.9,148.1,151.7,141.8,120.8,83.7,110.0,142.8,163.7,161.1,166.8,150.1,154.0,157.7,170.1,178.7, 142.7 , 136.2 , 137.8 , 151.4 , 165.1 , 163.9 ,153.9,172.1,145.7,143.8,150.3,144.4,144.4,179.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidnapping/abduction,0.0,5.1,2.8,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,3.5,0.0,3.8,0.0,1.8,1.8,0.0, 1.3 ,0.0,0.0,0.0, 2.0 ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
,Australian Capital Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homicide and related offences(i),2.0,2.0,1.6,1.0,1.9,1.0,1.0,0.9,0.0,1.2,1.2,2.4,0.9,1.2,1.8,2.3,0.8,0.8,0.8,1.1,0.8,1.0,1.8,1.2,2.9,1.0,1.4,0.9,2.8,2.0,0.6
Murder,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.9,0.9,0.0,0.9,0.9,1.2,0.9,0.8,0.8,0.0,0.8,0.0,1.0,1.0,0.7,0.0,1.4,0.0,0.7,0.7,1.3,0.6
Attempted murder,1.7,1.3,1.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.9,0.0,0.7,0.7,0.6
Manslaughter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault(j),np,np,np,583.3,543.9,534.5,536.0,549.8,608.0,612.7,611.3,537.5,534.4,587.2,640.6,670.6,636.2,650.1,607.9,537.8,480.1,444.4,484.8,577.3,573.8,557.4,562.8,513.7,536.1,538.7,563.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexual assault,27.7,33.8,25.5,38.1,36.1,27.0,30.2,37.5,55.7,56.7,51.0,67.8,50.1,64.4,81.4,67.7,62.0,53.3,60.3,53.6,61.8,52.2,60.6,67.5,64.6,66.1,76.7,67.0,79.0,71.2,79.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidnapping/abduction,1.0,0.0,0.0,1.0,2.6,1.0,2.9,0.9,1.6,4.0,0.9,2.1,0.0,1.2,2.0,2.0,3.1,0.0,1.1,1.6,1.6,1.0,1.0,0.7,0.7,1.4,1.6,0.7,0.0,0.7,0.0
